	SHH_WT_models24206.py	SHH_WT_models34817.py	SHH_WT_models32722.py	SHH_WT_models18557.py	SHH_WT_models5307.py	SHH_WT_models12433.py	SHH_WT_models8984.py	SHH_WT_models41859.py	SHH_WT_models31879.py	SHH_WT_models41538.py	SHH_WT_models19903.py	SHH_WT_models28244.py	SHH_WT_models4070.py	SHH_WT_models32291.py	SHH_WT_models30093.py	SHH_WT_models27032.py	SHH_WT_models5926.py	SHH_WT_models40865.py	SHH_WT_models1811.py	SHH_WT_models49440.py	SHH_WT_models38204.py	SHH_WT_models45114.py	SHH_WT_models13608.py	SHH_WT_models21025.py	SHH_WT_models10580.py	SHH_WT_models30402.py	SHH_WT_models7880.py	SHH_WT_models47890.py	SHH_WT_models17286.py	SHH_WT_models4621.py	SHH_WT_models28664.py	SHH_WT_models49996.py	SHH_WT_models9944.py	SHH_WT_models31832.py	SHH_WT_models9283.py	SHH_WT_models1166.py	SHH_WT_models47710.py	SHH_WT_models6373.py	SHH_WT_models17316.py	SHH_WT_models17399.py	SHH_WT_models34543.py	SHH_WT_models27717.py	SHH_WT_models23029.py	SHH_WT_models15986.py	SHH_WT_models17583.py	SHH_WT_models35708.py	SHH_WT_models32644.py	SHH_WT_models488.py	SHH_WT_models29228.py	SHH_WT_models44997.py	SHH_WT_models39351.py	SHH_WT_models43041.py	SHH_WT_models11029.py	SHH_WT_models45774.py	SHH_WT_models27725.py	SHH_WT_models1192.py	SHH_WT_models18902.py	SHH_WT_models2238.py	SHH_WT_models22421.py	SHH_WT_models32436.py	SHH_WT_models35629.py	SHH_WT_models44296.py	SHH_WT_models38759.py	SHH_WT_models47603.py	SHH_WT_models34183.py	SHH_WT_models16149.py	SHH_WT_models36378.py	SHH_WT_models19436.py	SHH_WT_models30779.py	SHH_WT_models6662.py	SHH_WT_models33732.py	SHH_WT_models37228.py	SHH_WT_models40839.py	SHH_WT_models42616.py	SHH_WT_models7718.py	SHH_WT_models37719.py	SHH_WT_models40490.py	SHH_WT_models7344.py	SHH_WT_models30347.py	SHH_WT_models19239.py	SHH_WT_models491.py	SHH_WT_models1588.py	SHH_WT_models15435.py	SHH_WT_models10615.py	SHH_WT_models17200.py	SHH_WT_models357.py	SHH_WT_models37141.py	SHH_WT_models13634.py	SHH_WT_models25278.py	SHH_WT_models8764.py	SHH_WT_models40786.py	SHH_WT_models41853.py	SHH_WT_models3827.py	SHH_WT_models45309.py	
SHH_WT_models1588.py	3851.703	3696.976	1051.662	906.373	962.307	3736.868	830.281	3749.783	3874.557	3886.023	1610.769	3863.539	3732.61	3755.849	3794.771	3716.998	3860.555	604.376	1721.187	3747.033	3750.554	3778.311	525.115	3771.524	566.106	3758.111	512.919	858.368	490.724	583.612	563.797	911.087	3750.068	684.897	3652.193	901.464	3699.467	609.319	388.552	489.99	3724.071	3707.105	3722.69	3681.216	426.639	3715.299	3811.751	3807.027	309.735	3710.175	3882.504	408.845	497.904	612.948	3699.528	3864.033	422.226	3715.356	3809.889	556.95	520.756	3688.337	3690.219	986.912	3771.779	597.861	574.818	477.733	3710.365	457.735	3769.738	3738.323	784.001	3726.683	374.999	551.798	3683.031	3725.178	510.782	3671.547	3916.257	0.0	3978.447	1587.731	1127.836	4074.175	3683.403	444.551	1453.451	4047.238	1937.713	1341.304	1327.609	4044.504	
SHH_WT_models15435.py	1254.884	1136.05	4107.422	3989.445	4112.098	1075.408	4021.076	1075.226	1327.211	1252.027	4244.303	1272.95	1214.713	1255.814	1416.496	1157.355	1421.686	4057.09	4383.086	1252.188	1391.879	1059.28	4091.522	1390.054	4054.533	1274.012	4012.025	3982.014	4052.37	4036.521	4116.826	3977.341	1450.233	4210.304	1214.629	4027.599	1363.57	4129.143	3999.572	4100.911	1412.868	1391.477	1413.921	1397.508	4020.753	1384.312	1333.72	1388.049	3989.517	1439.55	1430.519	4010.795	4070.228	4057.377	1330.47	1422.532	4014.504	1299.923	1501.159	4105.131	4012.063	1397.252	1386.879	3845.152	1403.565	4079.642	4031.584	4062.566	1417.485	3998.536	1135.183	1409.641	4081.833	1548.244	4020.707	4029.833	1505.635	1547.444	3989.255	1506.571	356.166	3978.447	0.0	4312.686	3905.521	710.666	1434.763	3970.723	4297.535	1741.168	4467.842	4124.507	4117.927	760.054	
SHH_WT_models10615.py	4274.611	4107.917	1288.895	1365.838	1225.597	4177.981	1279.508	4184.451	4280.279	4261.953	1391.184	4239.931	4139.67	4210.476	4233.502	4135.827	4294.657	1405.743	1356.197	4189.838	4205.08	4214.465	1412.294	4228.218	1323.781	4149.896	1439.939	1470.263	1441.123	1403.573	1407.454	1517.71	4213.109	1286.523	4038.282	1337.08	4130.945	1439.857	1511.087	1451.405	4184.736	4169.949	4178.664	4127.045	1482.762	4167.431	4232.464	4250.84	1536.325	4176.734	4310.501	1420.592	1491.983	1523.289	4169.901	4326.456	1523.489	4167.226	4262.461	1467.116	1499.186	4122.282	4131.649	1490.606	4184.621	1494.968	1496.744	1525.165	4177.13	1585.786	4183.593	4173.122	1314.208	4151.326	1484.19	1494.757	4150.6	4177.493	1563.821	4110.592	4234.722	1587.731	4312.686	0.0	1234.144	4403.015	4095.946	1574.386	392.788	4340.426	643.681	717.394	725.004	4363.402	
SHH_WT_models17200.py	3890.349	3700.745	761.726	665.168	817.363	3747.824	941.523	3771.481	3947.1	3957.347	1424.498	3934.986	3727.532	3797.979	3866.022	3720.664	3944.851	1064.547	1593.544	3808.892	3829.044	3796.62	1078.34	3830.828	981.124	3800.539	1067.792	645.414	1082.175	1140.749	1126.005	656.562	3830.98	1173.0	3643.594	692.42	3757.422	1245.504	1094.314	1161.558	3780.092	3786.512	3801.988	3740.249	1040.594	3793.366	3906.081	3873.747	1076.838	3788.907	3973.324	957.646	1142.635	982.598	3781.854	3957.093	1057.397	3779.396	3892.684	1227.324	1078.405	3757.485	3754.917	545.146	3826.618	1234.435	1123.516	1191.202	3792.501	1062.563	3771.572	3800.356	1074.893	3783.107	1115.276	1142.341	3762.086	3792.441	1062.379	3719.492	3835.623	1127.836	3905.521	1234.144	0.0	4012.073	3716.938	1189.367	1257.713	4038.931	1528.071	1048.525	1020.046	3976.757	
SHH_WT_models357.py	1267.183	1276.228	4217.131	4095.851	4227.723	1262.445	4116.984	1146.987	1201.867	1277.587	4334.474	1237.923	1336.738	1317.42	1271.845	1292.836	1255.729	4148.313	4431.49	1236.888	1318.254	1130.812	4195.402	1296.513	4156.825	1279.884	4106.687	4089.397	4149.554	4123.468	4220.275	4079.958	1346.482	4308.905	1312.86	4138.484	1323.375	4221.71	4095.019	4197.635	1394.55	1351.183	1360.853	1362.628	4119.331	1344.098	1269.195	1246.686	4087.552	1379.098	1242.17	4116.062	4164.87	4161.972	1313.471	1239.948	4120.528	1253.165	1326.144	4204.046	4115.705	1328.268	1345.77	3937.38	1330.783	4173.661	4130.532	4160.864	1353.969	4098.814	1141.771	1352.921	4176.472	1425.517	4120.708	4129.399	1434.778	1457.687	4093.288	1461.237	620.226	4074.175	710.666	4403.015	4012.073	0.0	1383.391	4075.967	4396.176	1827.666	4518.107	4226.301	4221.17	217.726	
SHH_WT_models37141.py	855.504	694.931	3799.305	3692.624	3828.108	950.207	3719.913	712.555	907.547	939.762	3982.767	896.849	858.948	750.783	565.694	719.676	776.458	3721.848	4115.622	619.149	580.351	814.261	3770.808	648.694	3779.32	583.912	3695.21	3690.607	3743.066	3707.937	3794.043	3695.597	610.214	3893.422	731.298	3761.752	559.668	3803.166	3682.903	3783.32	703.088	607.1	533.802	476.815	3693.931	557.807	802.094	609.802	3682.279	609.191	912.877	3733.776	3739.475	3744.509	710.807	824.961	3701.581	743.355	794.021	3790.713	3702.573	449.406	451.461	3585.239	476.927	3747.357	3718.244	3733.776	707.198	3681.59	884.67	533.662	3784.206	516.031	3733.76	3734.519	707.217	672.961	3673.308	720.007	1256.764	3683.403	1434.763	4095.946	3716.938	1383.391	0.0	3661.87	4090.73	1683.138	4212.862	3981.151	3965.42	1374.935	
SHH_WT_models13634.py	3834.835	3688.056	1124.758	1040.081	933.887	3726.86	771.784	3733.47	3836.705	3832.901	1553.177	3812.746	3732.275	3752.566	3765.536	3714.239	3826.527	564.103	1651.798	3716.959	3714.742	3762.582	448.243	3751.856	554.759	3726.117	435.177	1002.222	431.449	461.936	543.657	1058.799	3731.056	660.511	3660.957	1001.372	3665.591	490.181	351.191	505.499	3716.992	3671.049	3686.42	3653.823	424.168	3685.571	3759.34	3784.124	342.791	3679.566	3843.407	463.642	448.602	710.689	3672.711	3844.7	389.323	3693.208	3782.309	530.648	386.049	3656.757	3665.201	1117.256	3732.471	487.487	556.868	357.642	3676.04	520.335	3768.224	3701.142	642.759	3700.202	386.317	501.02	3663.459	3703.777	466.692	3663.746	3915.053	444.551	3970.723	1574.386	1189.367	4075.967	3661.87	0.0	1414.294	4043.972	1913.376	1330.592	1307.88	4050.185	
SHH_WT_models25278.py	4249.169	4104.12	1326.539	1367.485	1198.815	4165.407	1183.84	4169.148	4246.08	4221.588	1438.221	4204.91	4141.153	4200.983	4210.962	4134.56	4261.505	1260.036	1419.116	4174.326	4183.104	4206.064	1271.222	4207.162	1220.155	4128.214	1297.197	1438.93	1293.574	1258.021	1245.133	1496.19	4197.353	1156.342	4051.715	1367.418	4108.109	1280.534	1355.817	1301.571	4176.872	4144.378	4156.513	4111.126	1363.386	4147.212	4196.887	4233.495	1387.042	4156.367	4275.724	1312.336	1341.099	1409.508	4151.039	4301.993	1387.818	4153.085	4238.755	1294.736	1344.08	4106.833	4116.64	1490.961	4165.28	1307.358	1321.893	1382.397	4157.801	1445.081	4185.646	4155.162	1163.743	4135.744	1364.373	1323.771	4139.078	4162.629	1412.068	4101.474	4229.085	1453.451	4297.535	392.788	1257.713	4396.176	4090.73	1414.294	0.0	4327.483	828.959	679.541	689.934	4360.198	
SHH_WT_models8764.py	1683.225	1610.259	4132.806	4022.589	4129.931	1808.989	3992.169	1643.356	1792.35	1522.056	4111.919	1500.262	1822.395	1878.467	1872.566	1603.195	1934.986	4054.791	4247.177	1825.976	1919.717	1709.143	4116.886	1930.807	4094.745	1343.767	4042.967	4055.713	4083.907	4031.212	4136.45	4044.011	2020.397	4196.21	1709.871	4112.706	1909.975	4129.597	4044.063	4108.19	2064.93	1957.458	1914.588	1932.765	4062.197	1935.998	1722.956	1900.396	4035.968	2038.608	1940.82	4092.232	4106.446	4094.245	2000.008	2007.835	4077.751	1964.526	2088.456	4120.615	4063.697	1734.377	1825.071	3924.817	1659.3	4070.12	4031.272	4108.825	2035.033	4047.457	1848.534	1838.974	4082.251	1977.876	4086.697	4041.923	2144.344	2142.487	4057.598	2112.171	1775.012	4047.238	1741.168	4340.426	4038.931	1827.666	1683.138	4043.972	4327.483	0.0	4423.566	4242.381	4240.732	1858.658	
SHH_WT_models40786.py	4349.758	4253.183	1473.237	1601.652	1353.977	4329.44	1467.732	4317.113	4340.176	4299.073	1250.961	4287.355	4299.222	4351.638	4323.514	4293.368	4364.38	1652.074	1145.02	4311.457	4307.143	4353.61	1721.518	4331.937	1645.895	4242.842	1712.867	1708.822	1734.39	1660.999	1698.303	1781.674	4324.899	1597.473	4212.224	1609.362	4242.811	1748.929	1821.238	1772.832	4314.351	4276.142	4287.212	4245.289	1792.723	4285.76	4304.527	4358.331	1881.19	4292.774	4374.74	1778.945	1777.526	1830.722	4308.485	4408.509	1853.53	4310.108	4356.518	1769.161	1808.209	4235.188	4251.098	1737.255	4274.231	1789.053	1770.347	1836.008	4305.805	1896.013	4357.595	4280.072	1563.211	4252.43	1865.592	1811.472	4276.328	4284.817	1864.086	4241.675	4420.38	1937.713	4467.842	643.681	1528.071	4518.107	4212.862	1913.376	828.959	4423.566	0.0	1108.953	1131.527	4498.929	
SHH_WT_models41853.py	4161.568	3991.299	1333.296	1276.69	1113.371	4023.469	1072.986	4024.9	4159.334	4145.663	1319.752	4122.368	4016.96	4073.606	4105.548	4002.786	4166.744	1267.503	1523.087	4042.692	4075.496	4046.586	1288.462	4094.576	1066.286	4036.791	1181.977	1305.361	1209.067	1216.362	1296.186	1334.965	4071.454	1257.405	3921.959	1217.789	4002.457	1360.223	1252.239	1354.163	4053.508	4039.727	4045.956	3996.021	1302.185	4026.059	4101.109	4103.057	1300.801	4042.138	4179.322	1173.531	1328.105	1433.486	4012.676	4185.706	1339.053	4008.883	4130.134	1359.445	1209.096	4001.871	4001.715	1305.853	4064.301	1372.561	1305.624	1350.676	4024.807	1422.283	4019.484	4043.79	1195.573	4041.538	1256.24	1252.884	4022.678	4059.841	1394.903	3995.993	4061.585	1341.304	4124.507	717.394	1048.525	4226.301	3981.151	1330.592	679.541	4242.381	1108.953	0.0	196.02	4196.7	
SHH_WT_models3827.py	4144.603	3976.979	1300.462	1248.452	1107.128	4007.153	1086.746	4011.0	4148.567	4137.503	1359.325	4116.042	3999.743	4056.122	4090.809	3986.825	4153.382	1264.552	1555.136	4028.273	4060.905	4032.22	1272.702	4076.429	1056.931	4026.943	1178.374	1276.012	1192.364	1220.032	1294.509	1297.036	4055.811	1250.681	3905.92	1180.588	3989.574	1346.557	1237.964	1335.775	4034.642	4024.772	4031.428	3981.668	1265.005	4012.959	4088.999	4087.354	1276.843	4025.237	4167.575	1149.924	1297.521	1396.889	3998.577	4171.78	1312.892	3994.266	4113.756	1362.943	1197.254	3990.074	3987.339	1284.257	4053.016	1362.922	1314.154	1320.86	4007.68	1386.765	4003.36	4028.485	1198.121	4025.218	1239.604	1252.042	4004.295	4042.109	1367.355	3976.931	4054.729	1327.609	4117.927	725.004	1020.046	4221.17	3965.42	1307.88	689.934	4240.732	1131.527	196.02	0.0	4192.793	
SHH_WT_models45309.py	1255.262	1272.363	4182.47	4060.197	4205.735	1270.283	4091.868	1149.856	1192.553	1293.388	4326.774	1266.969	1326.847	1315.23	1266.297	1313.716	1246.29	4118.726	4421.138	1252.845	1321.142	1154.644	4170.824	1283.858	4136.262	1290.192	4086.644	4055.904	4129.179	4100.661	4193.087	4044.312	1329.928	4283.147	1311.539	4108.762	1305.771	4196.481	4071.47	4167.176	1372.826	1346.913	1370.267	1349.053	4091.583	1345.988	1296.76	1246.976	4058.337	1372.219	1243.668	4091.915	4141.009	4125.709	1323.422	1230.271	4094.065	1263.431	1304.81	4174.788	4093.886	1341.33	1346.081	3900.002	1352.008	4144.521	4100.454	4137.167	1367.296	4064.955	1151.369	1367.8	4148.904	1408.792	4095.712	4106.396	1429.176	1426.828	4065.106	1431.208	660.294	4044.504	760.054	4363.402	3976.757	217.726	1374.935	4050.185	4360.198	1858.658	4498.929	4196.7	4192.793	0.0	
